IP,Port,Vulnerabilities,Country,City,Domains,Hostnames,Mnt-By,Abuse Mailbox
132.72.173.175,2628,,Israel,Tifraẖ,,,,
132.72.180.162,2628,,Israel,Tifraẖ,,,,
132.72.169.182,2628,,Israel,Tifraẖ,,,,
132.72.187.205,2628,,Israel,Tifraẖ,,,,
132.72.253.120,2628,,Israel,Beersheba,,,,
132.72.131.41,2628,,Israel,Tifraẖ,,,,
132.72.17.112,2628,,Israel,Beersheba,,,,
132.72.91.218,2628,,Israel,Beersheba,,,,
132.72.56.44,2628,,Israel,Beersheba,,,,
132.72.226.114,2628,,Israel,Beersheba,,,,
132.72.95.41,2628,,Israel,Beersheba,,,,
132.72.188.77,2628,,Israel,Tifraẖ,,,,
132.72.92.200,2628,,Israel,Beersheba,,,,
132.72.229.0,2628,,Israel,Beersheba,,,,
132.72.83.123,2628,,Israel,Beersheba,,,,
132.72.177.209,2628,,Israel,Tifraẖ,,,,
132.72.24.218,2628,,Israel,Beersheba,,,,
132.72.249.21,2628,,Israel,Beersheba,,,,
132.72.92.233,2628,,Israel,Beersheba,,,,
132.72.175.113,2628,,Israel,Tifraẖ,,,,
132.72.113.58,2628,,Israel,Beersheba,,,,
132.72.47.97,2628,,Israel,Beersheba,,,,
132.72.105.45,2628,,Israel,Beersheba,,,,
132.72.53.108,2628,,Israel,Beersheba,,,,
132.72.236.134,2628,,Israel,Beersheba,,,,
132.72.153.164,2628,,Israel,Tifraẖ,,,,
132.72.71.158,2628,,Israel,Beersheba,,,,
132.72.128.21,2628,,Israel,Tifraẖ,,,,
132.72.107.207,2628,,Israel,Beersheba,,,,
132.72.82.5,2628,,Israel,Beersheba,,,,
132.72.65.132,2628,,Israel,Beersheba,,,,
132.72.110.114,2628,,Israel,Beersheba,,,,
132.72.241.33,2628,,Israel,Beersheba,,,,
132.72.209.68,2628,,Israel,Beersheba,,,,
132.72.89.94,2628,,Israel,Beersheba,,,,
132.72.77.234,2628,,Israel,Beersheba,,,,
132.72.20.174,2628,,Israel,Beersheba,,,,
132.72.82.118,2628,,Israel,Beersheba,,,,
132.72.74.160,2628,,Israel,Beersheba,,,,
132.72.69.130,2628,,Israel,Beersheba,,,,
132.72.155.124,2628,,Israel,Tifraẖ,,,,
132.72.152.54,2628,,Israel,Tifraẖ,,,,
132.72.219.29,2628,,Israel,Beersheba,,,,
132.72.184.207,2628,,Israel,Tifraẖ,,,,
132.72.118.136,80,,Israel,Beersheba,,,,
132.72.25.108,2628,,Israel,Beersheba,,,,
132.72.124.201,443,,Israel,Beersheba,,,,
132.73.191.254,264,,Israel,Beersheba,,,,
132.73.85.254,18264,,Israel,Midreshet Ben-Gurion,,,,
132.73.84.254,80,,Israel,Midreshet Ben-Gurion,,,,
132.73.84.221,80,"CVE-2024-38475, CVE-2024-27316, CVE-2013-2765, CVE-2022-0778, CVE-2022-36760, CVE-2022-23943, CVE-2022-2097, CVE-2023-27522, CVE-2022-4304, CVE-2013-4365, CVE-2009-1390, CVE-2022-22720, CVE-2022-28330, CVE-2021-32791, CVE-2023-5678, CVE-2022-2068, CVE-2009-3766, CVE-2022-1292, CVE-2024-38474, CVE-2009-3765, CVE-2019-0190, CVE-2022-30556, CVE-2006-20001, CVE-2021-3711, CVE-2024-0727, CVE-2021-3712, CVE-2023-0464, CVE-2023-0465, CVE-2023-0466, CVE-2012-4001, CVE-2013-0941, CVE-2021-33193, CVE-2022-37436, CVE-2022-22721, CVE-2012-4360, CVE-2021-40438, CVE-2011-1176, CVE-2021-36160, CVE-2022-31813, CVE-2024-38476, CVE-2024-40898, CVE-2022-4450, CVE-2023-0286, CVE-2023-3817, CVE-2023-4807, CVE-2021-34798, CVE-2023-25690, CVE-2021-32786, CVE-2021-32785, CVE-2011-2688, CVE-2021-31618, CVE-2021-44224, CVE-2007-4723, CVE-2021-44790, CVE-2013-0942, CVE-2021-4160, CVE-2009-0796, CVE-2024-38477, CVE-2021-32792, CVE-2022-26377, CVE-2023-45802, CVE-2022-28614, CVE-2023-2650, CVE-2023-0215, CVE-2022-29404, CVE-2012-3526, CVE-2009-3767, CVE-2009-2299, CVE-2021-39275, CVE-2022-28615, CVE-2023-31122, CVE-2022-22719",Israel,Midreshet Ben-Gurion,,,,
132.73.84.98,80,,Israel,Midreshet Ben-Gurion,,,,
132.73.84.39,80,"CVE-2014-0117, CVE-2017-7679, CVE-2017-9798, CVE-2015-3185, CVE-2015-3184, CVE-2015-3183, CVE-2013-4365, CVE-2018-5407, CVE-2022-28330, CVE-2021-32791, CVE-2021-32792, CVE-2024-38476, CVE-2024-38477, CVE-2023-31122, CVE-2024-38475, CVE-2009-0796, CVE-2022-2068, CVE-2014-0118, CVE-2013-6438, CVE-2020-1927, CVE-2023-0286, CVE-2023-3817, CVE-2017-3167, CVE-2021-32786, CVE-2021-32785, CVE-2007-4723, CVE-2021-44790, CVE-2016-4975, CVE-2020-13938, CVE-2023-2650, CVE-2023-0215, CVE-2020-35452, CVE-2022-22719, CVE-2020-1934, CVE-2022-36760, CVE-2022-4304, CVE-2019-1563, CVE-2014-3523, CVE-2013-5704, CVE-2019-17567, CVE-2022-31813, CVE-2012-4360, CVE-2014-0231, CVE-2021-26690, CVE-2021-26691, CVE-2019-0220, CVE-2022-30556, CVE-2021-39275, CVE-2014-3581, CVE-2016-0736, CVE-2022-29404, CVE-2018-1312, CVE-2006-20001, CVE-2017-15710, CVE-2014-0226, CVE-2024-0727, CVE-2009-3766, CVE-2009-3767, CVE-2009-3765, CVE-2022-22721, CVE-2022-22720, CVE-2019-10092, CVE-2021-3712, CVE-2023-0464, CVE-2023-0465, CVE-2023-0466, CVE-2019-10098, CVE-2015-0228, CVE-2016-5387, CVE-2017-15715, CVE-2021-40438, CVE-2011-1176, CVE-2022-23943, CVE-2018-17199, CVE-2021-23841, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2021-34798, CVE-2023-25690, CVE-2020-11985, CVE-2021-4160, CVE-2013-4352, CVE-2022-26377, CVE-2014-0098, CVE-2016-8743, CVE-2024-40898, CVE-2024-38474, CVE-2022-0778, CVE-2020-1971, CVE-2009-1390, CVE-2012-3526, CVE-2023-5678, CVE-2017-3736, CVE-2017-3737, CVE-2019-1547, CVE-2017-3735, CVE-2009-2299, CVE-2022-1292, CVE-2017-3738, CVE-2012-4001, CVE-2022-37436, CVE-2021-23840, CVE-2018-0737, CVE-2018-0734, CVE-2018-0732, CVE-2017-9788, CVE-2018-0739, CVE-2014-8109, CVE-2013-2765, CVE-2011-2688, CVE-2016-2161, CVE-2016-8612, CVE-2019-1552, CVE-2013-0941, CVE-2013-0942, CVE-2019-1551, CVE-2019-1559, CVE-2018-1283, CVE-2020-1968, CVE-2019-0217, CVE-2022-28615, CVE-2022-28614",Israel,Midreshet Ben-Gurion,,,,
132.73.41.254,18264,,Israel,Midreshet Ben-Gurion,,,,
132.73.84.177,80,CVE-2023-44487,Israel,Midreshet Ben-Gurion,,,,
132.73.120.254,264,,Israel,Midreshet Ben-Gurion,,,,
132.73.84.209,80,,Israel,Midreshet Ben-Gurion,,,,
132.73.84.183,80,"CVE-2014-0117, CVE-2017-7679, CVE-2017-9798, CVE-2015-3185, CVE-2015-3184, CVE-2015-3183, CVE-2013-4365, CVE-2018-5407, CVE-2022-28330, CVE-2021-32791, CVE-2021-32792, CVE-2024-38476, CVE-2024-38477, CVE-2023-31122, CVE-2024-38475, CVE-2009-0796, CVE-2022-2068, CVE-2014-0118, CVE-2013-6438, CVE-2020-1927, CVE-2023-0286, CVE-2023-3817, CVE-2017-3167, CVE-2021-32786, CVE-2021-32785, CVE-2007-4723, CVE-2021-44790, CVE-2016-4975, CVE-2020-13938, CVE-2023-2650, CVE-2023-0215, CVE-2020-35452, CVE-2022-22719, CVE-2020-1934, CVE-2022-36760, CVE-2022-4304, CVE-2019-1563, CVE-2014-3523, CVE-2013-5704, CVE-2019-17567, CVE-2022-31813, CVE-2012-4360, CVE-2014-0231, CVE-2021-26690, CVE-2021-26691, CVE-2019-0220, CVE-2022-30556, CVE-2021-39275, CVE-2014-3581, CVE-2016-0736, CVE-2022-29404, CVE-2018-1312, CVE-2006-20001, CVE-2017-15710, CVE-2014-0226, CVE-2024-0727, CVE-2009-3766, CVE-2009-3767, CVE-2009-3765, CVE-2022-22721, CVE-2022-22720, CVE-2019-10092, CVE-2021-3712, CVE-2023-0464, CVE-2023-0465, CVE-2023-0466, CVE-2019-10098, CVE-2015-0228, CVE-2016-5387, CVE-2017-15715, CVE-2021-40438, CVE-2011-1176, CVE-2022-23943, CVE-2018-17199, CVE-2021-23841, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2021-34798, CVE-2023-25690, CVE-2020-11985, CVE-2021-4160, CVE-2013-4352, CVE-2022-26377, CVE-2014-0098, CVE-2016-8743, CVE-2024-40898, CVE-2024-38474, CVE-2022-0778, CVE-2020-1971, CVE-2009-1390, CVE-2012-3526, CVE-2023-5678, CVE-2017-3736, CVE-2017-3737, CVE-2019-1547, CVE-2017-3735, CVE-2009-2299, CVE-2022-1292, CVE-2017-3738, CVE-2012-4001, CVE-2022-37436, CVE-2021-23840, CVE-2018-0737, CVE-2018-0734, CVE-2018-0732, CVE-2017-9788, CVE-2018-0739, CVE-2014-8109, CVE-2013-2765, CVE-2011-2688, CVE-2016-2161, CVE-2016-8612, CVE-2019-1552, CVE-2013-0941, CVE-2013-0942, CVE-2019-1551, CVE-2019-1559, CVE-2018-1283, CVE-2020-1968, CVE-2019-0217, CVE-2022-28615, CVE-2022-28614",Israel,Midreshet Ben-Gurion,,,,
132.73.84.204,80,,Israel,Midreshet Ben-Gurion,,,,
132.73.84.48,80,"CVE-2023-44487, CVE-2021-23017, CVE-2021-3618",Israel,Midreshet Ben-Gurion,,,,
132.73.84.222,80,"CVE-2024-38475, CVE-2024-27316, CVE-2013-2765, CVE-2020-13950, CVE-2022-0778, CVE-2022-36760, CVE-2020-35452, CVE-2022-23943, CVE-2022-2097, CVE-2023-27522, CVE-2022-4304, CVE-2013-4365, CVE-2009-1390, CVE-2022-22720, CVE-2021-30641, CVE-2022-28330, CVE-2021-32791, CVE-2023-5678, CVE-2022-2068, CVE-2009-3766, CVE-2022-1292, CVE-2024-38474, CVE-2009-3765, CVE-2019-0190, CVE-2022-30556, CVE-2006-20001, CVE-2021-3711, CVE-2024-0727, CVE-2021-3712, CVE-2023-0464, CVE-2023-0465, CVE-2023-0466, CVE-2012-4001, CVE-2019-17567, CVE-2021-33193, CVE-2022-37436, CVE-2021-3449, CVE-2022-22721, CVE-2012-4360, CVE-2021-40438, CVE-2011-1176, CVE-2021-36160, CVE-2022-31813, CVE-2024-38476, CVE-2013-0941, CVE-2024-40898, CVE-2022-4450, CVE-2023-0286, CVE-2023-3817, CVE-2023-4807, CVE-2021-34798, CVE-2023-25690, CVE-2021-32786, CVE-2021-32785, CVE-2011-2688, CVE-2021-44224, CVE-2007-4723, CVE-2021-44790, CVE-2013-0942, CVE-2021-4160, CVE-2009-0796, CVE-2024-38477, CVE-2021-32792, CVE-2021-26690, CVE-2021-26691, CVE-2022-26377, CVE-2023-45802, CVE-2022-28614, CVE-2020-13938, CVE-2023-2650, CVE-2023-0215, CVE-2022-29404, CVE-2021-3450, CVE-2009-3767, CVE-2012-3526, CVE-2009-2299, CVE-2021-39275, CVE-2022-28615, CVE-2023-31122, CVE-2022-22719",Israel,Midreshet Ben-Gurion,,,,
132.73.84.206,80,,Israel,Midreshet Ben-Gurion,,,,
132.73.84.49,443,"CVE-2023-44487, CVE-2021-23017, CVE-2021-3618",Israel,Midreshet Ben-Gurion,bgu.ac.il,bidi.cs.bgu.ac.il,,
132.73.84.59,443,,Israel,Midreshet Ben-Gurion,bgu.ac.il,aihops.cs.bgu.ac.il,,
132.73.144.254,264,,Israel,Beersheba,,,,
132.73.84.163,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.56.219,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.28.218,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.44.108,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.102.116,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.225.118,2628,,Israel,Beersheba,,,,
132.73.90.190,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.114.208,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.59.101,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.46.93,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.39.5,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.195.56,2628,,Israel,Beersheba,,,,
132.73.49.111,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.4.133,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.116.230,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.56.22,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.227.34,2628,,Israel,Beersheba,,,,
132.73.107.188,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.23.228,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.137.244,2628,,Israel,Beersheba,,,,
132.73.196.151,2628,,Israel,Beersheba,,,,
132.73.43.217,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.80.199,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.68.164,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.110.42,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.74.2,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.90.16,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.17.40,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.231.165,2628,,Israel,Beersheba,,,,
132.73.171.47,2628,,Israel,Beersheba,,,,
132.73.191.127,2628,,Israel,Beersheba,,,,
132.73.156.53,2628,,Israel,Beersheba,,,,
132.73.245.157,2628,,Israel,Beersheba,,,,
132.73.96.141,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.157.211,2628,,Israel,Beersheba,,,,
132.73.222.235,2628,,Israel,Beersheba,,,,
132.73.55.63,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.100.55,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.160.201,2628,,Israel,Beersheba,,,,
132.73.82.154,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.35.150,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.56.178,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.239.107,2628,,Israel,Beersheba,,,,
132.73.151.106,2628,,Israel,Beersheba,,,,
132.73.79.245,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.94.47,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.255.83,2628,,Israel,Beersheba,,,,
132.73.107.206,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.41.134,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.2.174,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.179.126,2628,,Israel,Beersheba,,,,
132.73.141.197,2628,,Israel,Beersheba,,,,
132.73.137.60,2628,,Israel,Beersheba,,,,
132.73.193.243,2628,,Israel,Beersheba,,,,
132.73.218.205,2628,,Israel,Beersheba,,,,
132.73.175.205,2628,,Israel,Beersheba,,,,
132.73.48.164,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.83.203,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.120.92,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.254.6,2628,,Israel,Beersheba,,,,
132.73.198.11,2628,,Israel,Beersheba,,,,
132.73.185.128,2628,,Israel,Beersheba,,,,
132.73.82.82,2628,,Israel,Midreshet Ben-Gurion,,,,
132.73.160.56,2628,,Israel,Beersheba,,,,
132.73.84.197,443,,Israel,Midreshet Ben-Gurion,bgu.ac.il,realestateil.cs.bgu.ac.il,,
132.73.84.243,80,,Israel,Midreshet Ben-Gurion,,,,
132.73.84.96,443,,Israel,Midreshet Ben-Gurion,bgu.ac.il,evogene.cs.bgu.ac.il,,
132.73.84.210,443,,Israel,Midreshet Ben-Gurion,,,,
